0,0,0,1611293711361
0,0,0,1611293711534
-0.0258312,-0.0205161,0.103762,1611293711695
-0.0316107,-0.0189029,0.212721,1611293711869
-0.0437726,-0.0478963,0.328492,1611293712057
-0.0620521,-0.0782837,0.444431,1611293712249
-0.0764866,-0.0455625,0.54605,1611293712437
-0.164813,0.0661197,0.555368,1611293712634
-0.29155,0.204425,0.569009,1611293712836
-0.398343,0.312131,0.662205,1611293713036
-0.514788,0.418778,0.753694,1611293713236
-0.641672,0.504427,0.864174,1611293713437
-0.767345,0.587498,0.987291,1611293713623
-0.908182,0.617948,1.10798,1611293713804
-1.03173,0.618882,1.2292,1611293713992
-1.16353,0.658861,1.34871,1611293714175
-1.28419,0.691005,1.3451,1611293714374
-1.41464,0.682663,1.32108,1611293714567
-1.56153,0.710081,1.32232,1611293714748
-1.69855,0.730768,1.33383,1611293714931
-1.82886,0.809672,1.26131,1611293715117
-2.00004,0.877502,1.14769,1611293715310
-2.09967,0.943656,1.05767,1611293715480
-2.22962,1.03335,0.947394,1611293715659
-2.34948,1.12195,0.842012,1611293715817
-2.45631,1.22645,0.739213,1611293715985
-2.56943,1.33158,0.636668,1611293716157
-2.67379,1.39023,0.608338,1611293716329
-2.76254,1.49227,0.629178,1611293716486
-2.84562,1.61934,0.634979,1611293716646
-2.92606,1.71557,0.628133,1611293716802
-3.03003,1.82471,0.626814,1611293716951
-3.10836,1.88114,0.636339,1611293717111
-3.12688,1.97235,0.606015,1611293717268
-3.22713,2.10914,0.547482,1611293717422
-3.29005,2.18024,0.491935,1611293717566
-3.35141,2.35758,0.423024,1611293717721
-3.39408,2.43878,0.345373,1611293717876
-3.43366,2.56706,0.271637,1611293718023
-3.46914,2.7165,0.196532,1611293718178
-3.48148,2.83116,0.123294,1611293718324
-3.51701,2.94412,0.0668222,1611293718478
-3.55572,3.04898,0.0883073,1611293718625
-3.5795,3.16277,0.0941465,1611293718762
-3.59806,3.27453,0.0991616,1611293718904
-3.63319,3.37863,0.0898498,1611293719046
-3.66538,3.51522,0.0921468,1611293719187
-3.66444,3.69124,0.0917381,1611293719333
-3.73373,3.8258,0.0887764,1611293719461
-3.7608,3.99291,0.0896964,1611293719607
-3.78279,4.07714,0.0877007,1611293719746
-3.79644,4.15095,0.09015,1611293719885
-3.82305,4.26091,0.096292,1611293720030
-3.85339,4.39499,0.0951802,1611293720173
-3.867,4.48581,0.0948171,1611293720313
-3.90149,4.61415,0.0945586,1611293720454
-3.92479,4.70559,0.0963518,1611293720600
-3.94199,4.80958,0.0932218,1611293720746
-3.98268,4.96729,0.093735,1611293720883
